order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
170001,2,0,0,2,0:00:17,4:00:17,480,480,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
260002,0,0,1,0.25,0:00:26,4:00:26,60,60,d1f8de642d734931be957336196d996d,f6faef4b36e743328800b961aced4a2c
310003,0,0,1,0.25,0:00:31,4:00:31,60,60,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
470004,0,1,0,0.5,0:00:47,4:00:47,120,120,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
520005,0,5,0,2.5,0:00:52,4:00:52,600,600,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
1210006,0,2,0,1,0:01:21,4:01:21,240,240,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
1270007,0,0,2,0.5,0:01:27,4:01:27,120,120,ffd0ed8719f54294a452ed3e3b6a986c,f6faef4b36e743328800b961aced4a2c
1280008,0,0,2,0.5,0:01:28,4:01:28,120,120,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
1350009,1,0,0,1,0:01:35,4:01:35,240,240,d1f8de642d734931be957336196d996d,b6dd694ae05541dba369a2a759d2c2b9
3230010,4,1,0,4.5,0:03:23,4:03:23,1080,1080,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
3250011,0,3,0,1.5,0:03:25,4:03:25,360,360,2445d4bd004c457d95957d6ecf77f759,206128e3ee9a458d9cfd053cedc0fad6
3360012,0,5,0,2.5,0:03:36,4:03:36,600,600,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
3440013,0,0,1,0.25,0:03:44,4:03:44,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
3490014,0,0,1,0.25,0:03:49,4:03:49,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
5180015,0,0,2,0.5,0:05:18,4:05:18,120,120,5e2e9efa5ade4984bb18af66028bc0c8,32ab2049f3fb437881ff3912470d7840
5370016,0,1,0,0.5,0:05:37,4:05:37,120,120,7fb0acc4e2634440ba26a7ebc0040dc2,7b84670cf4164cccba22ebb17a2c290a
6350017,3,0,0,3,0:06:35,4:06:35,720,720,b6dd694ae05541dba369a2a759d2c2b9,5e2e9efa5ade4984bb18af66028bc0c8
6420018,0,0,2,0.5,0:06:42,4:06:42,120,120,5e2e9efa5ade4984bb18af66028bc0c8,b6dd694ae05541dba369a2a759d2c2b9
6540019,1,0,0,1,0:06:54,4:06:54,240,240,5e2e9efa5ade4984bb18af66028bc0c8,f6faef4b36e743328800b961aced4a2c
7200020,0,0,1,0.25,0:07:20,4:07:20,60,60,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
7320021,1,0,0,1,0:07:32,4:07:32,240,240,9b40bfd6ca1c432498685540652a5a8b,5e2e9efa5ade4984bb18af66028bc0c8
7360022,4,1,0,4.5,0:07:36,4:07:36,1080,1080,99f05d5e71104b04838cff91b231a002,f6faef4b36e743328800b961aced4a2c
7520023,0,0,1,0.25,0:07:52,4:07:52,60,60,5e2e9efa5ade4984bb18af66028bc0c8,f6faef4b36e743328800b961aced4a2c
8420024,0,1,0,0.5,0:08:42,4:08:42,120,120,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
8420025,0,1,0,0.5,0:08:42,4:08:42,120,120,2445d4bd004c457d95957d6ecf77f759,f6faef4b36e743328800b961aced4a2c
8460026,0,1,0,0.5,0:08:46,4:08:46,120,120,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
9260027,1,1,0,1.5,0:09:26,4:09:26,360,360,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
9590028,0,0,1,0.25,0:09:59,4:09:59,60,60,b6dd694ae05541dba369a2a759d2c2b9,f6faef4b36e743328800b961aced4a2c
10540029,0,0,1,0.25,0:10:54,4:10:54,60,60,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
11010030,0,0,1,0.25,0:11:01,4:11:01,60,60,32ab2049f3fb437881ff3912470d7840,5e2e9efa5ade4984bb18af66028bc0c8
11400031,1,0,0,1,0:11:40,4:11:40,240,240,ffd0ed8719f54294a452ed3e3b6a986c,9f1a09c368584eba9e7f10a53d55caae
12230032,0,1,0,0.5,0:12:23,4:12:23,120,120,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
12270033,2,6,0,5,0:12:27,4:12:27,1200,1200,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
12490034,0,0,1,0.25,0:12:49,4:12:49,60,60,9b40bfd6ca1c432498685540652a5a8b,5e2e9efa5ade4984bb18af66028bc0c8
13120035,0,0,3,0.75,0:13:12,4:13:12,180,180,9b40bfd6ca1c432498685540652a5a8b,5e2e9efa5ade4984bb18af66028bc0c8
13190036,1,0,0,1,0:13:19,4:13:19,240,240,9b40bfd6ca1c432498685540652a5a8b,5e2e9efa5ade4984bb18af66028bc0c8
14080037,0,1,0,0.5,0:14:08,4:14:08,120,120,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
15190038,0,0,2,0.5,0:15:19,4:15:19,120,120,f6faef4b36e743328800b961aced4a2c,5e2e9efa5ade4984bb18af66028bc0c8
15300039,0,0,1,0.25,0:15:30,4:15:30,60,60,b6dd694ae05541dba369a2a759d2c2b9,f6faef4b36e743328800b961aced4a2c
15350040,0,0,4,1,0:15:35,4:15:35,240,240,d1f8de642d734931be957336196d996d,f6faef4b36e743328800b961aced4a2c
15470041,0,0,1,0.25,0:15:47,4:15:47,60,60,9b40bfd6ca1c432498685540652a5a8b,5e2e9efa5ade4984bb18af66028bc0c8
16410042,0,1,0,0.5,0:16:41,4:16:41,120,120,32ab2049f3fb437881ff3912470d7840,f6faef4b36e743328800b961aced4a2c
17400043,1,0,0,1,0:17:40,4:17:40,240,240,2445d4bd004c457d95957d6ecf77f759,b6dd694ae05541dba369a2a759d2c2b9
17440044,0,1,0,0.5,0:17:44,4:17:44,120,120,2445d4bd004c457d95957d6ecf77f759,9f1a09c368584eba9e7f10a53d55caae
17490045,1,1,0,1.5,0:17:49,4:17:49,360,360,b6dd694ae05541dba369a2a759d2c2b9,f6faef4b36e743328800b961aced4a2c
17510046,1,8,0,5,0:17:51,4:17:51,1200,1200,f6faef4b36e743328800b961aced4a2c,b6dd694ae05541dba369a2a759d2c2b9
18190047,0,0,1,0.25,0:18:19,4:18:19,60,60,ffd0ed8719f54294a452ed3e3b6a986c,206128e3ee9a458d9cfd053cedc0fad6
