order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
360001,0,0,2,0.5,00:00:36,04:00:36,120,120,1e93ab7137b643aab3f9b31fdb1c35a8,8c0126415c904d388bfdecbb4bf23c2e
1320002,4,2,0,5.0,00:01:32,04:01:32,1200,1200,9b8851cf57f944c6b168ec887558ffaa,5c8900293133480d893ceee1ac8fd352
2070003,0,0,1,0.25,00:02:07,04:02:07,60,60,797fe83c0ac14a3c8724aa4d9ce0049a,e47399648fa842b2b8f80094343d8091
3160004,1,4,0,3.0,00:03:16,04:03:16,720,720,b4258aba02fe457889bff20abcd3c10e,5c8900293133480d893ceee1ac8fd352
4540005,0,0,1,0.25,00:04:54,04:04:54,60,60,a678f7137f7e4debbc6bc4679cd2c1b4,8854c92271174c4bbd3ee95fbdd973c7
5460006,1,0,0,1.0,00:05:46,04:05:46,240,240,1394dce6e0b24fc8ad3d0a807e490829,a6fefc4ac6f541cbbc7af963c13350f6
6330007,1,0,0,1.0,00:06:33,04:06:33,240,240,be79e1dcfff84bca9677a61c7fd5b5a6,b4258aba02fe457889bff20abcd3c10e
6540008,3,0,0,3.0,00:06:54,04:06:54,720,720,f7d977891ba84a7491024709803f38cc,9c615d0af79a4cbfa86dc0bbf46a7870
7200009,2,0,0,2.0,00:07:20,04:07:20,480,480,dd538f8238a5430b8135b89b8afe2511,5ec55e3f537d448d95144cec1cc37f54
7570010,0,0,1,0.25,00:07:57,04:07:57,60,60,681162833e354d329df2b7aff119f015,f5264a9b32c94706a8bc981ab961952a
8020011,0,1,0,0.5,00:08:02,04:08:02,120,120,e5dc8bf4da6a4112b4dfca025d6a8948,f6faef4b36e743328800b961aced4a2c
8320012,1,1,0,1.5,00:08:32,04:08:32,360,360,1053bf90a2c645c3a596b31bbc84f535,77e3d5c3f5ca4e0dabde094ba94ea49b
8460013,0,1,0,0.5,00:08:46,04:08:46,120,120,a6fefc4ac6f541cbbc7af963c13350f6,d1f8de642d734931be957336196d996d
9330014,0,1,0,0.5,00:09:33,04:09:33,120,120,99f05d5e71104b04838cff91b231a002,7d511f7ba322430687691bf9cfcc96b4
10110015,1,0,0,1.0,00:10:11,04:10:11,240,240,390904f3744145508d8c9f8361a23e72,7fb0acc4e2634440ba26a7ebc0040dc2
12270016,1,1,1,1.75,00:12:27,04:12:27,420,420,7fb0acc4e2634440ba26a7ebc0040dc2,14174a048a0147be86981428ec8df189
12550017,0,0,1,0.25,00:12:55,04:12:55,60,60,1654624e52e84a93b56d016abb6f9042,6fbe6d91a5f04b359e02bde29d349128
13120018,1,0,0,1.0,00:13:12,04:13:12,240,240,ef7a2e12c20043a9aba7fecf660b2616,680ee12255ad415ab7838647f138778e
13120019,0,1,1,0.75,00:13:12,04:13:12,180,180,1394dce6e0b24fc8ad3d0a807e490829,c4e793f5dc5a4026b54f5b9925de1196
13120020,0,1,0,0.5,00:13:12,04:13:12,120,120,2a1bdb363ea14379b771f76e428aad9c,b4258aba02fe457889bff20abcd3c10e
13120021,0,0,3,0.75,00:13:12,04:13:12,180,180,f99babdb60984c91ab485b8590630839,081dc54492414061ae6c6e47bf7b8db5
13160022,0,1,0,0.5,00:13:16,04:13:16,120,120,e7d9bdb12a9e4bf5a70373616d423349,b36cdc41430843efbf674ab80369d77b
13170023,1,0,0,1.0,00:13:17,04:13:17,240,240,c0979c05f2c44e6fa7c5e42ae9aa977e,e7d9bdb12a9e4bf5a70373616d423349
14340024,0,1,0,0.5,00:14:34,04:14:34,120,120,cdcbb2960996475fb11a199d4226fc15,9829a9e1f6874f28b33b57a7a42bb49f
14410025,1,0,1,1.25,00:14:41,04:14:41,300,300,43a4215be06543c1985c1e9460dec52d,c174cfe9fcbf4f1b82095941a49f7bd9
14430026,0,0,3,0.75,00:14:43,04:14:43,180,180,f7d977891ba84a7491024709803f38cc,c174cfe9fcbf4f1b82095941a49f7bd9
15260027,1,0,0,1.0,00:15:26,04:15:26,240,240,85a5e0d0db8746a8bb82de9c72fb4cfe,20d9d5fd8824497a811a65a57f64f359
15300028,0,0,1,0.25,00:15:30,04:15:30,60,60,f99babdb60984c91ab485b8590630839,fc583f43dd594e1fbc333052a2e5fb30
15470029,0,0,1,0.25,00:15:47,04:15:47,60,60,d9f1aced3d1b4379b43a7aed2488134d,ce433928b8724d77bbe97ccb1e3312a5
16410030,0,1,0,0.5,00:16:41,04:16:41,120,120,e040ed28e94445fc85bc071963535830,00e5630fbb3c4ff4b753ac1e1c15d561
16590031,1,0,0,1.0,00:16:59,04:16:59,240,240,6ba3750e4eda425fae9db0cd825c39cd,c4e793f5dc5a4026b54f5b9925de1196
16590032,1,0,0,1.0,00:16:59,04:16:59,240,240,3dae461cb13a4ca7bc113b9b1842283a,43a4215be06543c1985c1e9460dec52d
