order_id,q_standard,q_small,q_box,demand,creation_time,committed_completion_time,load_time,unload_time,pickup_id,delivery_id
234560001,0,1,0,0.5,02:34:56,06:34:56,120,120,b36cdc41430843efbf674ab80369d77b,e040ed28e94445fc85bc071963535830
410390002,3,0,0,3.0,04:10:39,08:10:39,720,720,5eb5c6872aa04a0c8175969801d56658,852c1621c9c44d029b33d71c1274caeb
458280003,0,0,1,0.25,04:58:28,08:58:28,60,60,6c9f8a62eff74e589c081de647f8eb3e,e15ed46435514dda8bd6a420ab3e5d0b
504410004,0,1,0,0.5,05:04:41,09:04:41,120,120,004d1201e9e84cfbacfa68dc759c61f1,be79e1dcfff84bca9677a61c7fd5b5a6
606110005,1,0,0,1.0,06:06:11,10:06:11,240,240,1394dce6e0b24fc8ad3d0a807e490829,856895eda4fa41159b4aed0b71355cae
636270006,0,0,1,0.25,06:36:27,10:36:27,60,60,797fe83c0ac14a3c8724aa4d9ce0049a,1654624e52e84a93b56d016abb6f9042
644000007,0,3,1,1.75,06:44:00,10:44:00,420,420,13b35cedb9274b359a8a666d67ef5538,5920212e6b0b46b198b9677bfe74f35d
644040008,0,1,0,0.5,06:44:04,10:44:04,120,120,433544a316b84100a11a703f1b99494a,4291ef6305424140bbfaffff64fe7547
734520009,0,0,1,0.25,07:34:52,11:34:52,60,60,c56a0078468d4f1498be9e79f6bbd4c0,ffaae12a3c054da585696a96e880cf64
745580010,0,1,0,0.5,07:45:58,11:45:58,120,120,b6dd694ae05541dba369a2a759d2c2b9,1654624e52e84a93b56d016abb6f9042
813500011,4,7,0,7.5,08:13:50,12:13:50,1800,1800,c174cfe9fcbf4f1b82095941a49f7bd9,4780dc7fb51f4f5da3dea9e56c125fe6
821350012,0,0,1,0.25,08:21:35,12:21:35,60,60,85a5e0d0db8746a8bb82de9c72fb4cfe,773b0458659248f1938a61ddaeef55ef
908510013,0,3,2,2.0,09:08:51,13:08:51,480,480,856895eda4fa41159b4aed0b71355cae,0ca31f8c354b4ab78899ad6dfbd632fa
923270014,1,0,1,1.25,09:23:27,13:23:27,300,300,85a5e0d0db8746a8bb82de9c72fb4cfe,24b6bf044ee8473db7030d008fb422b5
946040015,0,1,0,0.5,09:46:04,13:46:04,120,120,187a4c8fb27e4e5b9ef800a4ad5d4301,433901c139d54522a8f3790b07a335e5
1001530016,0,1,0,0.5,10:01:53,14:01:53,120,120,c93a83d3e80d4aeeb037ff5255f4fd02,aa61dc034d9240e9950b027ba204f5f0
1005570017,6,0,0,6.0,10:05:57,14:05:57,1440,1440,1e93ab7137b643aab3f9b31fdb1c35a8,a678f7137f7e4debbc6bc4679cd2c1b4
1131550018,0,0,1,0.25,11:31:55,15:31:55,60,60,1654624e52e84a93b56d016abb6f9042,f99babdb60984c91ab485b8590630839
1142080019,0,1,0,0.5,11:42:08,15:42:08,120,120,7782ed919d8f4dd6a1fb220dacd73445,b4258aba02fe457889bff20abcd3c10e
1158100020,0,0,1,0.25,11:58:10,15:58:10,60,60,c93a83d3e80d4aeeb037ff5255f4fd02,1821ddf96fe14083ba213868cd82b840
1159320021,0,0,1,0.25,11:59:32,15:59:32,60,60,7d511f7ba322430687691bf9cfcc96b4,77e3d5c3f5ca4e0dabde094ba94ea49b
1208160022,1,0,0,1.0,12:08:16,16:08:16,240,240,187a4c8fb27e4e5b9ef800a4ad5d4301,468daf338af44b9382df90826f18994c
1325300023,0,0,2,0.5,13:25:30,17:25:30,120,120,cd837256e92d4dda8e4a738c049dbcd6,434ba7a94f63491a8cc6d6b913f54218
1409460024,1,0,0,1.0,14:09:46,18:09:46,240,240,7b4a71ce5d744da09cf5f4c744924812,0c589202a6584664939d46842080d019
1453220025,0,0,2,0.5,14:53:22,18:53:22,120,120,680ee12255ad415ab7838647f138778e,6999d8c076aa42f3b42c6c96dc2ccc4c
1453550026,0,4,0,2.0,14:53:55,18:53:55,480,480,680ee12255ad415ab7838647f138778e,d48e48b0b026419990c5ed5080c5da9d
1456110027,0,0,1,0.25,14:56:11,18:56:11,60,60,5e2e9efa5ade4984bb18af66028bc0c8,5934c25a3ab2421c9533dcfcb439ba76
1512130028,0,1,0,0.5,15:12:13,19:12:13,120,120,7782ed919d8f4dd6a1fb220dacd73445,e318c5d80f6e46d98e904579e76bafe7
1518030029,0,0,2,0.5,15:18:03,19:18:03,120,120,4cf497e776dd408f82c60b6475397a9d,6c9f8a62eff74e589c081de647f8eb3e
1526510030,0,0,1,0.25,15:26:51,19:26:51,60,60,1654624e52e84a93b56d016abb6f9042,14174a048a0147be86981428ec8df189
1553470031,4,2,0,5.0,15:53:47,19:53:47,1200,1200,9f1a09c368584eba9e7f10a53d55caae,433544a316b84100a11a703f1b99494a
1604370032,0,0,1,0.25,16:04:37,20:04:37,60,60,5eb5c6872aa04a0c8175969801d56658,77ec676ff9e348298044721c0fc2b690
1617500033,0,1,0,0.5,16:17:50,20:17:50,120,120,ce433928b8724d77bbe97ccb1e3312a5,1e93ab7137b643aab3f9b31fdb1c35a8
1637590034,0,0,1,0.25,16:37:59,20:37:59,60,60,4291ef6305424140bbfaffff64fe7547,449b516ba21b4270ac1ea1b13a89514c
1651420035,0,1,0,0.5,16:51:42,20:51:42,120,120,5920212e6b0b46b198b9677bfe74f35d,681162833e354d329df2b7aff119f015
